"No.","Time","Source","Destination","Protocol","Length","Sequence Number","Acknowledgment Number","TCP Segment Len","Info"
"7","4.853754477","fe80::f4af:cb28:5ee1:34bd","ff02::1","UDP","72","","","","56517  >  15118 Len=10"
"8","5.055536226","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","UDP","90","","","","15118  >  56517 Len=28"
"13","5.402245812","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","94","0","0","0","33032  >  52385 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 SACK_PERM=1 TSval=1600943067 TSecr=0 WS=128"
"14","5.468964151","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","98","0","1","0","52385  >  33032 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=64 TSval=3817203535 TSecr=1600943067 SACK_PERM=1"
"15","5.468991512","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","1","1","0","33032  >  52385 [ACK] Seq=1 Ack=1 Win=64896 Len=0 TSval=1600943173 TSecr=3817203535"
"16","5.489229762","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TLSv1.2","288","1","1","202","Client Hello"
"17","5.570078717","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1","1","0","[TCP Window Update] 52385  >  33032 [ACK] Seq=1 Ack=1 Win=131328 Len=0 TSval=3817203610 TSecr=1600943173"
"18","5.570127566","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TCP","86","1","203","0","52385  >  33032 [ACK] Seq=1 Ack=203 Win=131136 Len=0 TSval=3817203612 TSecr=1600943193"
"19","5.591419591","fe80::18b6:b99d:235d:1cb2","fe80::f4af:cb28:5ee1:34bd","TLSv1.2","176","1","203","90","Server Hello"
"20","5.591483248","fe80::f4af:cb28:5ee1:34bd","fe80::18b6:b99d:235d:1cb2","TCP","86","203","91","0","33032  >  52385 [ACK] Seq=203 Ack=91 Win=64896 Len=0 TSval=1600943295 TSecr=3817203689"
