"No.","Time","Source","Destination","Protocol","Length","Sequence Number","TCP Segment Len","Info"
"72","21.289098","fe80::4e9:7ecb:78c2:fe8e","ff02::1","UDP","72","","","52276  >  15118 Len=10"
"73","21.544102","fe80::4e9:7ecb:78c2:fe8e","ff02::1","UDP","72","","","52276  >  15118 Len=10"
"74","21.800277","fe80::4e9:7ecb:78c2:fe8e","ff02::1","UDP","72","","","52276  >  15118 Len=10"
"75","21.865011","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","UDP","90","","","15118  >  52276 Len=28"
"78","22.432734","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","UDP","90","","","15118  >  52276 Len=28"
"85","23.986969","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","98","0","0","57156  >  63834 [SYN, ECN, CWR] Seq=0 Win=65535 Len=0 MSS=1440 WS=64 TSval=805245635 TSecr=0 SACK_PERM=1"
"86","24.146583","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","98","0","0","[TCP Retransmission] [TCP Port numbers reused] 57156  >  63834 [SYN] Seq=0 Win=65535 Len=0 MSS=1440 WS=64 TSval=805246636 TSecr=0 SACK_PERM=1"
"87","24.259988","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","98","0","0","63834  >  57156 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=64 TSval=1649074991 TSecr=805246636 SACK_PERM=1"
"88","24.260069","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","1","0","57156  >  63834 [ACK] Seq=1 Ack=1 Win=131328 Len=0 TSval=805246749 TSecr=1649074991"
"89","24.345767","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TLSv1.2","288","1","202","Client Hello"
"90","24.378514","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","98","0","0","[TCP Retransmission] 63834  >  57156 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=64 TSval=1649075152 TSecr=805246636 SACK_PERM=1"
"91","24.378613","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","203","0","[TCP Dup ACK 88#1] 57156  >  63834 [ACK] Seq=203 Ack=1 Win=131328 Len=0 TSval=805246866 TSecr=1649074991"
"92","24.416788","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","1","0","63834  >  57156 [ACK] Seq=1 Ack=203 Win=131136 Len=0 TSval=1649075232 TSecr=805246834"
"95","24.531830","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","176","1","90","Server Hello"
"96","24.531905","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","203","0","57156  >  63834 [ACK] Seq=203 Ack=91 Win=131264 Len=0 TSval=805247017 TSecr=1649075307"
"97","24.595365","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","1514","91","1428","63834  >  57156 [ACK] Seq=91 Ack=203 Win=131136 Len=1428 TSval=1649075308 TSecr=805246866 [TCP segment of a reassembled PDU]"
"98","24.637348","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","96","1519","10","Certificate"
"99","24.637422","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","203","0","57156  >  63834 [ACK] Seq=203 Ack=1529 Win=131008 Len=0 TSval=805247120 TSecr=1649075308"
"100","24.664886","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","215","1529","129","Server Key Exchange, Server Hello Done"
"101","24.664988","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","203","0","57156  >  63834 [ACK] Seq=203 Ack=1658 Win=130880 Len=0 TSval=805247147 TSecr=1649075488"
"102","24.729212","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TLSv1.2","128","203","42","Client Key Exchange"
"104","24.944376","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","1658","0","63834  >  57156 [ACK] Seq=1658 Ack=245 Win=131072 Len=0 TSval=1649075622 TSecr=805247210"
"105","24.944465","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TLSv1.2","177","245","91","Change Cipher Spec, Encrypted Handshake Message"
"106","25.034804","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","1658","0","63834  >  57156 [ACK] Seq=1658 Ack=336 Win=131008 Len=0 TSval=1649075840 TSecr=805247424"
"107","25.063702","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","92","1658","6","Change Cipher Spec"
"108","25.063804","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","336","0","57156  >  63834 [ACK] Seq=336 Ack=1664 Win=131008 Len=0 TSval=805247542 TSecr=1649075847"
"109","25.165804","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","171","1664","85","Encrypted Handshake Message"
"110","25.165875","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","336","0","57156  >  63834 [ACK] Seq=336 Ack=1749 Win=130944 Len=0 TSval=805247644 TSecr=1649075978"
"111","25.262380","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TLSv1.2","187","336","101","Application Data"
"112","25.423826","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","1749","0","63834  >  57156 [ACK] Seq=1749 Ack=437 Win=130944 Len=0 TSval=1649076175 TSecr=805247739"
"113","25.480590","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","155","1749","69","Application Data"
"114","25.480676","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","437","0","57156  >  63834 [ACK] Seq=437 Ack=1818 Win=130944 Len=0 TSval=805247956 TSecr=1649076278"
"115","25.677669","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TLSv1.2","171","437","85","Application Data"
"116","26.120435","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","1818","0","63834  >  57156 [ACK] Seq=1818 Ack=522 Win=130944 Len=0 TSval=1649076548 TSecr=805248152"
"117","26.140914","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","187","1818","101","Application Data"
"118","26.140919","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","187","1818","101","[TCP Retransmission] 63834  >  57156 [PSH, ACK] Seq=1818 Ack=522 Win=131072 Len=101 TSval=1649076828 TSecr=805248152"
"119","26.141019","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","522","0","57156  >  63834 [ACK] Seq=522 Ack=1919 Win=130944 Len=0 TSval=805248614 TSecr=1649076561"
"120","26.141107","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","98","522","0","[TCP Dup ACK 119#1] 57156  >  63834 [ACK] Seq=522 Ack=1919 Win=130944 Len=0 TSval=805248614 TSecr=1649076828 SLE=1818 SRE=1919"
"121","26.154096","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TLSv1.2","171","522","85","Application Data"
"122","26.270615","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","1919","0","63834  >  57156 [ACK] Seq=1919 Ack=607 Win=130944 Len=0 TSval=1649077087 TSecr=805248627"
"123","26.305357","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","251","1919","165","Application Data"
"124","26.305467","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","607","0","57156  >  63834 [ACK] Seq=607 Ack=2084 Win=130880 Len=0 TSval=805248776 TSecr=1649077102"
"125","26.467502","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TLSv1.2","171","607","85","Application Data"
"126","26.579491","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","2084","0","63834  >  57156 [ACK] Seq=2084 Ack=692 Win=130944 Len=0 TSval=1649077333 TSecr=805248938"
"127","26.620138","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","171","2084","85","Application Data"
"128","26.620211","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","692","0","57156  >  63834 [ACK] Seq=692 Ack=2169 Win=130944 Len=0 TSval=805249090 TSecr=1649077345"
"130","26.889270","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","1514","692","1428","57156  >  63834 [ACK] Seq=692 Ack=2169 Win=131072 Len=1428 TSval=805249358 TSecr=1649077345 [TCP segment of a reassembled PDU]"
"131","26.889271","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TLSv1.2","183","2120","97","Application Data"
"134","27.061254","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","2169","0","63834  >  57156 [ACK] Seq=2169 Ack=2120 Win=129600 Len=0 TSval=1649077829 TSecr=805249358"
"135","27.067619","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","2169","0","63834  >  57156 [ACK] Seq=2169 Ack=2217 Win=130944 Len=0 TSval=1649077854 TSecr=805249358"
"136","27.111290","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","187","2169","101","Application Data"
"137","27.111358","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","2217","0","57156  >  63834 [ACK] Seq=2217 Ack=2270 Win=130944 Len=0 TSval=805249578 TSecr=1649077920"
"138","27.261607","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TLSv1.2","459","2217","373","Application Data"
"139","27.357605","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TCP","86","2270","0","63834  >  57156 [ACK] Seq=2270 Ack=2590 Win=130688 Len=0 TSval=1649078154 TSecr=805249728"
"140","27.435227","fe80::aa:1623:2a4e:a858","fe80::4e9:7ecb:78c2:fe8e","TLSv1.2","171","2270","85","Application Data"
"141","27.435325","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TCP","86","2590","0","57156  >  63834 [ACK] Seq=2590 Ack=2355 Win=130944 Len=0 TSval=805249901 TSecr=1649078180"
"142","27.448089","fe80::4e9:7ecb:78c2:fe8e","fe80::aa:1623:2a4e:a858","TLSv1.2","187","2590","101","Application Data"
